fake,goal,real,picked
"(22.415964276741597, -7.833575016521069)","(-15.05, -12.999999999999998)","(23.25, -9.449999999999998)",True
"(7.155900097639606, 20.121556756901207)","(-13.5, 12.950000000000003)","(8.5, 21.1)",True
"(-0.40422665402131575, 23.78540737532052)","(15.350000000000001, 10.750000000000004)","(-1.8999999999999986, 22.750000000000007)",True
"(-9.190571725359684, -10.02050270988008)","(10.350000000000001, -13.149999999999999)","(-8.549999999999999, -11.049999999999997)",True
"(-9.221193706572747, 7.223202921908561)","(27.1, -11.599999999999998)","(-10.2, 8.750000000000004)",True
"(-15.05266976714265, -4.309401710041724)","(27.050000000000004, 14.150000000000006)","(-14.75, -2.4499999999999993)",True
"(4.883414495163913, 11.546714697577425)","(21.0, 2.0500000000000043)","(4.25, 13.0)",True
"(-11.607343792085604, 7.630556169863845)","(25.200000000000003, -3.4499999999999993)","(-12.75, 8.350000000000001)",True
"(30.66808940463407, -8.696149247430828)","(25.700000000000003, -18.349999999999998)","(30.85, -10.449999999999998)",True
"(-6.2565973630584155, -4.223018935115582)","(2.3500000000000014, 14.450000000000003)","(-6.35, -5.499999999999998)",True
"(5.3738458314894455, 13.159573087718279)","(7.350000000000001, -2.3999999999999986)","(6.800000000000001, 13.850000000000001)",True
"(9.115969975941258, 0.08856263840496337)","(13.899999999999999, -7.799999999999997)","(10.400000000000002, -1.1499999999999986)",True
"(-1.2040868050869191, -15.94753556022874)","(5.5, 20.950000000000003)","(-1.5999999999999979, -17.45)",True
"(-1.8639247899015432, -2.0461443091853013)","(15.850000000000001, 18.550000000000004)","(-1.5999999999999979, -1.0499999999999972)",True
"(-13.51185564080219, -0.7833583653185435)","(6.25, 19.000000000000007)","(-15.05, -0.24999999999999645)",True
"(3.2316139796922667, -6.630637347849821)","(-15.6, -13.999999999999998)","(3.200000000000003, -5.499999999999998)",True
"(11.7749143603127, -19.6365756067212)","(-10.1, -1.7499999999999964)","(12.950000000000003, -18.349999999999998)",True
"(14.858706031802214, -0.6875682239579421)","(-17.6, -4.749999999999998)","(15.899999999999999, 0.5000000000000036)",True
"(33.90328195725654, -14.510474419027522)","(1.1500000000000021, -3.6499999999999986)","(32.900000000000006, -14.849999999999998)",True
"(14.27312927269071, 13.104280676449273)","(2.25, 15.700000000000003)","(14.100000000000001, 15.0)",True
"(13.716485155111878, 13.506371202193193)","(-9.25, -7.599999999999998)","(14.950000000000003, 13.800000000000004)",True
"(1.0168363203774777, 18.854264262435827)","(12.899999999999999, 2.400000000000002)","(2.25, 17.6)",True
"(16.98865281797949, 17.77257623541464)","(29.200000000000003, -5.049999999999997)","(16.0, 17.400000000000006)",True
"(21.259584084478035, 11.117760279463365)","(29.25, -8.249999999999998)","(21.800000000000004, 9.200000000000003)",True
"(1.3428716746827725, -12.902356793307003)","(-3.099999999999998, -11.899999999999999)","(1.6500000000000021, -11.449999999999998)",True
"(-9.77179645336794, 13.844176349630787)","(26.800000000000004, -12.549999999999999)","(-8.049999999999999, 13.450000000000003)",True
"(-9.821133174384462, -16.926672562007134)","(15.800000000000004, -5.849999999999998)","(-10.4, -15.45)",True
"(12.999817648372044, 6.478908712380767)","(23.650000000000006, 5.5000000000000036)","(14.450000000000003, 7.100000000000001)",True
"(-8.25460159810711, -7.121583896257629)","(36.050000000000004, -16.849999999999998)","(-8.049999999999999, -5.399999999999999)",True
"(-18.277945710252975, 3.178945213464086)","(-8.75, -14.95)","(-18.4, 1.5500000000000043)",True
"(-8.759426183330966, 20.588889206576013)","(-18.45, 6.550000000000004)","(-7.35, 21.500000000000007)",True
"(30.55738485877506, -10.155571542251566)","(-8.1, -2.549999999999997)","(28.650000000000006, -9.899999999999999)",True
"(6.311892104230929, -17.556633183158038)","(7.400000000000002, -10.299999999999997)","(6.950000000000003, -16.15)",True
"(18.903761149213764, 2.4325068461999813)","(-14.649999999999999, -9.749999999999998)","(19.75, 1.1500000000000021)",True
"(27.669147257839512, -14.508393289355821)","(24.75, 7.300000000000004)","(27.5, -15.849999999999998)",True
"(16.194188633441684, -9.39941669706878)","(18.4, -4.099999999999998)","(14.600000000000001, -9.299999999999997)",True
"(-10.141937906946673, 22.779587937702097)","(4.150000000000002, 5.650000000000002)","(-8.95, 21.800000000000004)",True
"(15.560205414313494, -10.095103990598759)","(5.150000000000002, 18.050000000000004)","(16.65, -10.899999999999999)",True
"(-18.3172500020947, 8.291094148746522)","(31.450000000000003, -16.849999999999998)","(-18.55, 6.600000000000001)",True
"(-16.7089580583602, 8.626969831197444)","(23.25, 11.300000000000004)","(-16.45, 7.450000000000003)",True
"(-7.403467038602796, 9.65613813710432)","(-0.4499999999999993, 0.9500000000000028)","(-8.549999999999999, 8.100000000000001)",True
"(27.28888189812219, 4.905207541943052)","(-2.3000000000000007, 15.800000000000004)","(27.950000000000003, 6.2500000000000036)",True
"(12.566024899366443, 9.85504423872813)","(18.65, 4.850000000000001)","(12.200000000000003, 8.600000000000001)",True
"(-0.2692173751316811, 5.617623240406429)","(11.5, -5.6999999999999975)","(-1.5, 7.0000000000000036)",True
"(19.155219071420326, 16.882941404163194)","(10.200000000000003, -11.449999999999998)","(18.050000000000004, 15.300000000000004)",True
"(8.759602477246009, 11.588381319892159)","(2.650000000000002, 12.850000000000001)","(7.0, 11.400000000000006)",True
"(-16.175293036866467, 5.499665276008738)","(-12.899999999999999, -16.799999999999997)","(-16.05, 4.100000000000001)",True
"(-1.8746643934901928, 9.037806062213098)","(11.25, 20.450000000000003)","(-0.5999999999999979, 8.250000000000004)",True
"(-9.867617077016131, 22.11495569486944)","(13.899999999999999, -15.299999999999997)","(-10.799999999999999, 20.700000000000003)",True
"(11.145283202789653, 2.095367252197664)","(20.300000000000004, -13.599999999999998)","(12.350000000000001, 0.5500000000000043)",True
"(8.972926531723617, 12.686548378992079)","(13.550000000000004, -11.299999999999999)","(7.900000000000002, 12.150000000000006)",True
"(26.167756508097877, -18.40790796812683)","(-15.5, -9.799999999999997)","(27.450000000000003, -18.75)",True
"(9.525632179218583, 12.303129501909622)","(-12.2, 23.000000000000007)","(8.400000000000002, 11.75)",True
"(10.930162529917665, 4.685925684413358)","(29.900000000000006, -5.599999999999998)","(9.350000000000001, 4.200000000000003)",True
"(27.61428653118778, -6.793898914637087)","(5.900000000000002, -7.749999999999998)","(28.800000000000004, -6.549999999999997)",True
"(21.5970951026062, -14.095718985983062)","(-17.0, -12.049999999999999)","(21.300000000000004, -15.849999999999998)",True
"(-1.8754026605491378, -7.562290174673644)","(31.950000000000003, -9.899999999999999)","(-2.349999999999998, -9.049999999999997)",True
"(-6.762939015856368, -13.046753830770626)","(1.25, -12.899999999999999)","(-7.1, -14.499999999999998)",True
"(25.262703082319373, 17.19289086057563)","(14.950000000000003, -6.9499999999999975)","(26.85, 17.450000000000003)",True
