goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location
"(1.75, -19.049999999999997)","[(-7.273676288677673, -2.9027219875055987)]","[(-7.772485996828693, -3.334573245386542)]","[(-7.758383592274708, -3.483979889234528)]","[(-8.230523354644045, -2.264341114850158)]","[(-7.795350161861045, -2.5005222883841918)]","[(-8.084768767191012, -2.7136904126960766)]","[(-8.392994930941258, -2.8826265727597087)]","[(-7.9715796747539285, -2.7870111007012)]","[(-8.863485599167431, -2.5184017178059324)]","[(-8.331122097785688, -1.9476479369633624)]","[(-7.6312357777746165, -3.0436878850219466)]","[(-7.934833796495447, -2.3019997608017055)]","[(-8.797190367842216, -2.7387146009622816)]","[(-8.833845608465488, -3.80031573313706)]","[(-7.477777929920909, -2.9991879653008766)]","[(-8.007555903799696, -2.848512108745969)]","[(-7.113736759248344, -2.470672010375143)]","[(-7.5159179676996, -2.233288278589262)]","[(-8.442244253804013, -2.2653063813884806)]","[(-8.042964259585087, -4.063502968241966)]","(-6.85, -2.599999999999998)"
"(-15.6, -13.999999999999998)","[(1.890713610442785, -6.434145785141804)]","[(2.5112269713355184, -6.537269102274303)]","[(1.538401679687507, -6.780189931927088)]","[(1.772960737577613, -6.941689986494456)]","[(2.296830201279998, -6.044569091329394)]","[(2.0901678285438354, -6.524990814844387)]","[(1.9939623073322492, -6.586562823188837)]","[(0.9840892992295902, -6.567415573607797)]","[(2.9227109706282315, -6.804398689386718)]","[(1.9584588258762432, -6.139006032706741)]","[(2.0868616472534027, -6.850666716609645)]","[(1.6566138414715395, -6.563349021323434)]","[(3.05928866522653, -5.587833624658999)]","[(1.6148083379399578, -6.630082258068992)]","[(3.17116058331825, -6.255063979341294)]","[(2.172242034545497, -6.208546728829774)]","[(1.318288249420108, -6.2222216332641125)]","[(2.375864508362155, -6.149184335887329)]","[(2.025301817741874, -6.378127129042232)]","[(2.0889719485267024, -6.551325534740083)]","(3.200000000000003, -5.499999999999998)"
"(11.850000000000001, -4.999999999999998)","[(23.824775093787924, 3.99687040507733)]","[(25.79289832966643, 3.79654439898924)]","[(24.490378734142688, 3.7522048785638997)]","[(23.78432792329562, 4.177319993100146)]","[(24.597503447175345, 3.509946015223346)]","[(25.21835873439541, 3.268525480701106)]","[(24.770535494478263, 4.396121829429109)]","[(25.24332275203587, 3.461860348577131)]","[(24.983686555561963, 3.341038300820971)]","[(24.468996847092036, 4.278879349918953)]","[(24.949745511597133, 4.343132742179324)]","[(24.92378249378545, 3.9283785356071834)]","[(23.956077507592628, 3.6315364279140714)]","[(24.577142074883028, 3.838497329396115)]","[(25.107247196580715, 3.8499460236088963)]","[(24.342412835500195, 4.237824756859474)]","[(24.1451127307232, 3.8848249392836167)]","[(25.085651265176516, 3.5582873698427737)]","[(24.43997763219417, 3.2808391514068442)]","[(25.068854669346116, 3.478270098267819)]","(23.700000000000003, 2.3000000000000043)"
"(25.200000000000003, -3.4499999999999993)","[(-12.12350589085157, 7.59287261158646)]","[(-12.465020111258475, 7.245178153903475)]","[(-12.077103175662446, 7.5128578422364365)]","[(-12.113992625340787, 8.158639658979562)]","[(-11.82751612762427, 7.962658676100677)]","[(-11.930907003933806, 7.93945142918007)]","[(-12.018996416583787, 7.594677202787051)]","[(-12.11349650691208, 7.1869868108529)]","[(-11.928971553358037, 7.147272558343599)]","[(-11.956089991369677, 7.726680605082553)]","[(-12.611036606083108, 8.229819383725223)]","[(-11.976096291156617, 7.963225591785447)]","[(-12.460588331682011, 7.755748025683113)]","[(-11.570959256695499, 6.903337929271178)]","[(-11.833699205270582, 7.098137166324762)]","[(-11.364818821595025, 6.973948502419626)]","[(-12.014363659345491, 7.514651975591661)]","[(-11.948932710833697, 7.3470566635196946)]","[(-11.278900167451521, 7.445065317109087)]","[(-12.353584132377811, 7.204318479838359)]","(-12.75, 8.350000000000001)"
"(22.200000000000003, -4.899999999999999)","[(8.387105120845153, -17.569074469319677)]","[(7.465642272892689, -17.22685781429613)]","[(7.403226348361304, -17.956518517435853)]","[(7.513324763099613, -18.209351164252165)]","[(7.769196811567024, -18.104536530439958)]","[(6.940664679511735, -17.20968131539335)]","[(6.937459593577886, -17.396508947326666)]","[(6.890464854585606, -18.38368493750634)]","[(6.974234172835651, -17.938700576356158)]","[(7.460661280761904, -18.009067829425682)]","[(7.941425468840539, -18.40163258675267)]","[(8.106509673197257, -17.083680825527786)]","[(8.073584877766153, -18.157872419964054)]","[(7.693027703236826, -18.47393387552082)]","[(7.902925014320402, -18.118500401089587)]","[(8.070548991563793, -18.060898082018362)]","[(6.804942232352755, -17.30947300287938)]","[(7.237158175239628, -17.261852444934053)]","[(8.035013375056211, -16.59512022997539)]","[(8.091790236115408, -18.446088952698894)]","(7.75, -16.9)"
"(-15.5, -9.799999999999997)","[(25.657593777573034, -18.775740791378933)]","[(25.875695292243613, -17.473530939982588)]","[(26.039928569996714, -18.30305411988245)]","[(26.49505715112527, -18.96669832168124)]","[(26.369041284502178, -19.16514873485782)]","[(27.27538103077367, -18.932830221709438)]","[(26.479139303560924, -19.614017846116543)]","[(25.6194999623928, -19.003863103224337)]","[(26.91968483727735, -18.183027593405516)]","[(26.8282805383052, -17.809185238032132)]","[(25.430965510583373, -18.277842849002713)]","[(26.119467709600414, -19.29254209424492)]","[(25.888402724648532, -18.767396047895936)]","[(26.14409667901184, -18.447459036444226)]","[(26.464218853946026, -18.858058990338023)]","[(26.49152781134771, -19.131310966874008)]","[(27.111497739981818, -19.38102938018053)]","[(25.522238985207302, -18.032641468675124)]","[(25.870490450022267, -17.202033656250116)]","[(26.122199591297726, -18.019062389647118)]","(27.450000000000003, -18.75)"
"(9.55, 5.950000000000003)","[(8.696702312384794, -13.715336546957468)]","[(8.33084170382169, -13.771555158220266)]","[(7.343588107810371, -14.51040921258281)]","[(7.980260267984488, -13.894676839262836)]","[(9.404795348570367, -14.524594993041534)]","[(8.549654396267877, -13.933099627634252)]","[(8.710250880894584, -13.658712663746075)]","[(8.104116558865956, -13.134807051460157)]","[(8.801886189150032, -13.780604186206196)]","[(8.044900280456817, -13.506418853036195)]","[(8.350908577414613, -13.408304203752206)]","[(8.747377333289352, -13.790704134659524)]","[(9.017621058543048, -13.176284674174735)]","[(8.465279184982817, -13.256760873370345)]","[(8.22757136053362, -13.926264933400414)]","[(8.269544597287252, -13.360851427840466)]","[(8.482709762806238, -13.292859300603645)]","[(8.471597686006659, -13.820608763917667)]","[(8.066025425015585, -13.844207348696486)]","[(9.050272193896376, -13.130007948492752)]","(7.150000000000002, -13.549999999999997)"
"(10.850000000000001, 7.400000000000002)","[(7.400653640008651, 14.150046708144577)]","[(7.239156938286878, 14.32380152162338)]","[(7.965208599385204, 13.94002215576196)]","[(6.917323649984312, 15.272840988826639)]","[(7.6412226018493685, 13.285703036569986)]","[(7.358853986486578, 15.217378935368915)]","[(7.282562672689919, 14.275474036435483)]","[(7.677304740612935, 14.746453795590657)]","[(7.303044973697836, 14.182501942376092)]","[(7.4644786189568135, 13.903465670723717)]","[(7.610414261192254, 14.375685034060686)]","[(6.9185857006641385, 14.615621474944472)]","[(7.338107328608557, 13.9500843943605)]","[(7.205460578037972, 14.455868181297692)]","[(7.500476799946212, 14.348582290647084)]","[(7.8313994852803095, 14.88626888517265)]","[(6.1902266348013715, 14.854979265416315)]","[(6.863466337052494, 14.934005383967675)]","[(6.775638756053826, 14.773213672905495)]","[(7.971493698437632, 14.18352718466764)]","(8.100000000000001, 15.350000000000001)"
"(13.899999999999999, -15.299999999999997)","[(-10.686875780597322, 21.21646713060348)]","[(-9.523970166930129, 22.23514861869993)]","[(-8.890932582686109, 21.81828596730058)]","[(-10.203653943644293, 22.677380657407543)]","[(-10.358197019306868, 22.572119965781603)]","[(-10.241001522972418, 21.647310215314455)]","[(-10.129201551576472, 20.58423346622386)]","[(-10.528102020850904, 22.323300579209413)]","[(-10.553117313043613, 22.35760895904096)]","[(-10.378551579812893, 22.364257847419935)]","[(-10.28568420973708, 22.00570647456229)]","[(-10.208214745708956, 22.206275941028498)]","[(-9.42163837874302, 22.709194737806843)]","[(-10.694454989594483, 21.57512322352395)]","[(-10.383114085353673, 22.536079040390884)]","[(-10.00352262521344, 21.020556962974684)]","[(-10.193947502044388, 21.803472820462314)]","[(-10.307014197456203, 22.34500563132981)]","[(-10.167991920451403, 21.64820716255363)]","[(-10.321703475230818, 22.34210730813734)]","(-10.799999999999999, 20.700000000000003)"
"(2.3500000000000014, 14.450000000000003)","[(-6.038112452214085, -5.066779390669867)]","[(-5.7463758372588964, -4.354785133454746)]","[(-6.605393571446186, -4.975938816314098)]","[(-6.27832262627008, -4.208608444584517)]","[(-5.826289147511328, -3.5178394767179704)]","[(-6.595996139091307, -4.434685146064462)]","[(-6.803032975606106, -4.302898163198935)]","[(-7.434688949466095, -3.934631916436276)]","[(-6.731329334897106, -3.89488378339621)]","[(-6.537420547428684, -5.042754342437045)]","[(-6.3616100683106165, -4.925580007545604)]","[(-5.8058462627343035, -4.257934868565348)]","[(-7.242403659995275, -5.471418957913604)]","[(-6.104480094238907, -4.896838313109092)]","[(-6.074167932855911, -5.051296355855405)]","[(-6.704486408548513, -3.9128990541747974)]","[(-5.285347233106886, -3.9565381295715514)]","[(-6.877720018576699, -4.760836609006937)]","[(-6.418939023776174, -4.3270177450138965)]","[(-6.134349062087253, -4.651797937975105)]","(-6.35, -5.499999999999998)"
"(29.25, -8.249999999999998)","[(22.028321156876427, 10.69131324540438)]","[(21.956993487104363, 10.983453160383778)]","[(22.35795076685361, 11.27906877943448)]","[(21.88514844444355, 10.910833191486896)]","[(21.285284811170268, 10.700888495462149)]","[(20.760865904369506, 10.747860210879344)]","[(21.283099983303032, 10.771510698325072)]","[(21.114910509210958, 10.593101795082665)]","[(20.955155077770808, 10.278074270698713)]","[(21.565003352292972, 10.68212142653732)]","[(21.037696823179694, 10.705718538130984)]","[(21.34560396746007, 11.426135897618549)]","[(21.56168313239935, 10.631398423804406)]","[(20.46555424951479, 11.20166566117177)]","[(20.959209241068596, 10.651011747153627)]","[(21.004528165514795, 11.085145877621459)]","[(20.401907765341523, 10.732382263543476)]","[(20.834470097615824, 11.488744703211468)]","[(21.146084093205747, 11.439226265194238)]","[(20.96172220666283, 10.739747839253836)]","(21.800000000000004, 9.200000000000003)"
"(-8.899999999999999, -4.799999999999997)","[(5.948528988811909, -17.09022249461602)]","[(5.8414393901554265, -16.82771575598042)]","[(5.753640903808384, -17.26705766489567)]","[(5.4720553045220734, -16.44039816737039)]","[(5.452965705868193, -16.88063477031164)]","[(5.018650148758452, -16.8515078142097)]","[(5.662878938024943, -17.69771662254251)]","[(5.378405413548746, -17.191381538033543)]","[(4.62288763830799, -17.543312908691238)]","[(6.005232391027045, -17.60055520003834)]","[(6.040043081123649, -17.657579609518244)]","[(5.367627187519829, -16.444820087170463)]","[(4.98106359266184, -18.23323280482885)]","[(5.433057824351772, -17.70653089563495)]","[(5.859462972890211, -16.969791611289867)]","[(5.691230652056497, -16.753264692153913)]","[(5.044201805460682, -17.113801135002916)]","[(4.564904607355797, -17.165778693328534)]","[(6.022824460148078, -16.929722792367357)]","[(6.036815222925979, -16.54239562524798)]","(3.8500000000000014, -16.599999999999998)"
"(-12.2, 23.000000000000007)","[(9.206828970056728, 11.593100664508196)]","[(9.996726083899421, 12.137979331796714)]","[(9.603718086884575, 12.676703010006483)]","[(9.256748567350916, 11.866388797837638)]","[(9.740401783213384, 12.0479192493758)]","[(9.095331815164228, 12.493445129710306)]","[(9.451048172731172, 11.368073791408198)]","[(8.816248447588073, 11.548979837500639)]","[(8.784000676074456, 12.68202874640407)]","[(9.658638437215206, 12.31639283932494)]","[(8.918214995681467, 11.30108295387642)]","[(10.206398864167046, 11.995142128561662)]","[(9.40482247733431, 11.672564194355767)]","[(9.753653833125174, 11.453492822437548)]","[(9.307275661371, 12.263825596731127)]","[(9.613320032038091, 12.066315438378156)]","[(10.01512634053245, 11.974545777583591)]","[(9.256748567350916, 11.866388797837638)]","[(10.104318958124328, 11.44052403029256)]","[(9.606848141617572, 11.54107448001099)]","(8.400000000000002, 11.75)"
"(7.400000000000002, -10.299999999999997)","[(6.393149892418738, -17.497426410291073)]","[(6.897258733820502, -17.69403708134138)]","[(6.7191690318798285, -17.751386129921904)]","[(7.074874738932176, -17.716303599784112)]","[(6.381334115956884, -17.75975495589873)]","[(6.342722434138564, -17.19970763926)]","[(5.654357567633851, -17.629419184098648)]","[(6.408211789263887, -17.689621940505514)]","[(7.2128851058014725, -17.29050037994477)]","[(7.638304072633499, -17.5620547023803)]","[(6.599803412854767, -17.863393270204647)]","[(6.023522258974365, -17.635458113069646)]","[(6.615209759848298, -17.778748234221787)]","[(5.656154625741563, -17.70129567688715)]","[(6.08215294931061, -17.67870488252498)]","[(6.27966537349787, -17.431659881671717)]","[(7.0021332438171875, -17.693328582240568)]","[(5.9572419052832615, -17.52257860358052)]","[(7.0638639699527435, -18.315393678360238)]","[(6.872579801792955, -17.97466929349049)]","(6.950000000000003, -16.15)"
"(23.25, 11.300000000000004)","[(-17.237541249768114, 8.341943397808567)]","[(-16.16091546234349, 8.261176855280226)]","[(-16.482464230882968, 7.449116900770899)]","[(-16.39588000825033, 9.056960049777913)]","[(-16.537545281148606, 8.357453907501432)]","[(-16.227784591628016, 7.788488778895118)]","[(-16.41128884192864, 7.938608833470676)]","[(-16.329399260783333, 7.53793309129836)]","[(-16.748505563000034, 8.318938099862494)]","[(-16.199346580156508, 8.337944810855094)]","[(-16.234250717669326, 8.493100699671688)]","[(-16.395167066579464, 9.696740312289776)]","[(-16.180098432933473, 9.01504936754603)]","[(-16.263642738325057, 8.844105941125035)]","[(-16.12154850746594, 8.261193331163117)]","[(-16.186702680027672, 8.673802358622492)]","[(-16.556840789578906, 7.953150453210908)]","[(-16.24636845948946, 8.25250116676676)]","[(-17.608389245943847, 8.003322460618266)]","[(-16.560830943360365, 7.745302651116651)]","(-16.45, 7.450000000000003)"
"(24.200000000000003, 15.600000000000001)","[(4.457643167406068, -18.669998224144074)]","[(4.164542958688888, -18.035947476287983)]","[(5.087674802855987, -18.429085480858305)]","[(4.315864728160967, -17.97848548030008)]","[(5.037485224615178, -18.96981729134996)]","[(3.788482459342828, -18.46725678277437)]","[(3.970150761344139, -18.38692362615553)]","[(4.652315342426028, -19.19163257743802)]","[(4.446092993833495, -18.345503749675835)]","[(4.1346671828582755, -18.481905059062225)]","[(4.582346824097032, -19.9193344856291)]","[(4.7807154022571785, -19.885607914303694)]","[(4.060051361711404, -18.722067906657752)]","[(4.748132890711915, -18.563509516852424)]","[(4.108306719083416, -18.15437077438194)]","[(4.703224332477508, -18.434412855894127)]","[(4.144958678916593, -18.982597321700208)]","[(5.082722037922521, -18.705015779943896)]","[(5.0141763939048705, -18.647822908425514)]","[(5.40368543487529, -18.391957166817924)]","(2.950000000000003, -18.299999999999997)"
"(1.5, 17.450000000000003)","[(2.4874594005757023, 0.9630905274140004)]","[(2.477004948371582, 0.751363958206794)]","[(3.355833428721925, 0.8913677656998544)]","[(2.453946811993947, 1.4407645059904188)]","[(1.9611618692177915, 0.8599616459216813)]","[(2.2293353795578743, 1.4392404866752933)]","[(1.631338071260384, 0.5043728199751727)]","[(1.9520004585194475, 0.8939291441074042)]","[(2.57344055426136, 0.3398857936006755)]","[(3.386953454268183, 0.9460125301103922)]","[(1.7776848958559879, 1.7223657898315192)]","[(2.43444497228037, 1.5499748522118604)]","[(2.7690801599607644, 1.4866988199208246)]","[(1.4186869044297608, 0.3971830031180579)]","[(1.9331254839643335, 0.8414853502916544)]","[(2.1519086792739466, 0.9801501881596165)]","[(1.4440918405756085, 1.2684014328846809)]","[(3.106160611590958, 0.7331706756478877)]","[(1.9779094599528324, 0.6502343510838348)]","[(2.352191861947249, 1.124071662778808)]","(1.6500000000000021, 2.7500000000000036)"
"(12.350000000000001, 3.3000000000000043)","[(17.63980903573389, -14.76330218369942)]","[(16.759444226433885, -14.599621213405513)]","[(16.831651631482764, -13.802555695580184)]","[(17.0428219299392, -14.437648785931327)]","[(16.189432789617516, -14.052341604715203)]","[(16.52546492170356, -14.250195251026096)]","[(16.442952205875727, -14.134529949859322)]","[(17.57211284532097, -14.774963588669664)]","[(16.9839981206606, -13.82865715882593)]","[(16.13480986204581, -14.346786320877452)]","[(16.263110051614028, -14.253383182228852)]","[(16.67271539965405, -15.114423981977577)]","[(17.31314429895093, -15.460785008840784)]","[(16.87606116182762, -13.903223887342266)]","[(16.34531598168428, -14.291754361225317)]","[(16.6606853049573, -15.088871605837644)]","[(17.143060029907527, -14.11297065051418)]","[(16.612946081459107, -13.538391888115235)]","[(16.634823726461313, -14.548985632527389)]","[(16.887375784172022, -14.500917755352734)]","(16.700000000000003, -16.349999999999998)"
"(27.050000000000004, 14.150000000000006)","[(-14.293417980533025, -4.476103633694828)]","[(-14.677896488051598, -3.4043738982068557)]","[(-16.18030637945873, -4.653566166546373)]","[(-14.900552498278907, -4.983221088029093)]","[(-14.7501465676194, -4.180020366924506)]","[(-15.185661445844897, -4.282288468766151)]","[(-15.693908658359552, -4.335203246557085)]","[(-14.790069203185961, -4.488764737155384)]","[(-14.736325779140792, -4.417624715376925)]","[(-14.603256052533848, -5.323921635750889)]","[(-14.553709672376621, -4.836228334989675)]","[(-14.797088569242662, -3.57252694169223)]","[(-14.488604646098622, -3.6758996401798365)]","[(-14.72216109457342, -4.666406072449662)]","[(-15.047108693036618, -4.354953922191811)]","[(-14.757893426935224, -3.59212447224846)]","[(-14.844988190687896, -4.181495934736501)]","[(-15.284844841216882, -4.724783080265048)]","[(-15.561000684160014, -4.160732489364452)]","[(-15.697103033629615, -4.833275681394827)]","(-14.75, -2.4499999999999993)"
