goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location,picked_0,picked_1,picked_2,picked_3,picked_4,picked_5,picked_6,picked_7,picked_8,picked_9
"(1.673000000000001, -3.452)","[(3.177028445246463, 1.0126762854313638)]","[(3.840512211610278, 1.5586426430410467)]","[(3.9750136982319497, 2.9665304846944487)]","[(3.3798466455292195, 0.49390889510483116)]","[(2.6312741238948685, 1.1187883349393177)]","[(2.8566960777404375, 0.4992853434605)]","[(3.1859797994839636, 0.7129083959239968)]","[(3.789099339246411, 1.6139585067554991)]","[(3.81713971662649, 1.4602876245006011)]","[(3.584486631338817, 1.997158856123257)]","[(4.402068750324288, 1.154086221374159)]","[(2.966439709431467, 0.5845410706864207)]","[(2.6320718628141986, 1.5667384707643197)]","[(3.586534133328523, 1.6453798770552994)]","[(2.7028877745425364, 0.9398583005410005)]","[(2.684713734728395, 0.6841607192009115)]","[(3.9468736976829355, 2.0719778684006562)]","[(2.1211109947462905, 2.0052178946280543)]","[(3.0398476276178745, 1.5541723671622805)]","[(4.085171165676636, 1.9530341822735973)]","(3.0230000000000006, 0.6479999999999997)",False,False,False,False,False,False,False,False,False,False
"(3.3230000000000013, -3.2520000000000002)","[(3.128118597952305, -4.703317128635817)]","[(3.6808523239789817, -4.661038559009095)]","[(3.946897887801947, -5.333509714191655)]","[(3.726262087125094, -4.5714249021181725)]","[(3.3440512686711794, -4.450855990532506)]","[(3.2134367738492124, -4.2414520191004375)]","[(3.697661944756663, -5.557878591042926)]","[(4.12124241235195, -3.3895926422355513)]","[(3.4944231768912783, -5.084995216171693)]","[(4.174254016509744, -4.101640440952898)]","[(3.01850753931799, -5.020280590211236)]","[(3.1934266545129226, -4.903320547050421)]","[(3.702581621863276, -4.331479469875844)]","[(3.762763648050508, -4.32609475981365)]","[(3.729138186815969, -5.285523659899577)]","[(4.076609387906603, -5.271180642421592)]","[(5.036155698093385, -5.079141018368057)]","[(3.488044398308089, -5.08277808280657)]","[(3.976330200289505, -4.689393339227484)]","[(4.04719006266747, -4.98778735366035)]","(4.473, -5.652)",False,False,False,False,False,False,False,False,False,False
"(1.173000000000001, -5.0520000000000005)","[(-0.3018279235361379, -0.4434292931707245)]","[(-0.2975517763597535, -0.049959642279107985)]","[(-2.0942359572782614, -0.28204919901393694)]","[(-0.684350057415998, -0.16347202427167556)]","[(-1.2406525952358114, -1.0895771288216414)]","[(-0.921524365528692, 0.17823637425552075)]","[(-0.6800725178175044, 0.01779079260350036)]","[(-0.04266510283474384, -0.020330144997850796)]","[(-0.8286376419718433, -0.3872642339694185)]","[(0.04267912902064752, -0.9982075919523075)]","[(-0.33294345826368443, 0.14853912217319432)]","[(0.04058501185221097, -0.34056322338986594)]","[(-1.3495319866789477, -0.7312470599147363)]","[(-0.8322305390222153, -0.8487932684497983)]","[(0.22854910910061355, -1.2098766287767921)]","[(-0.2811293795591565, -0.8915370684814337)]","[(0.23895071142193336, -1.6630449422304734)]","[(-0.4117978420752011, -1.190804982942491)]","[(-0.4635819250494357, -0.30641389486000353)]","[(-0.32102640422324363, -0.4318893741879441)]","(0.17300000000000093, 0.6479999999999997)",False,False,False,False,False,False,False,False,False,False
"(3.7730000000000006, -3.552)","[(3.6019360362962924, 0.6857683686702344)]","[(2.416970872937838, 1.3612694810253245)]","[(1.7639630835041722, 0.34044376291384415)]","[(1.521422630093301, 0.33398772002006305)]","[(2.903366646530884, 1.5107960824533222)]","[(1.8187855284959014, 0.6029133103420699)]","[(1.9983110682995742, 1.045633202141968)]","[(2.280176850207333, 0.20378281070595083)]","[(1.8061128134625648, 0.48733846657576463)]","[(2.236351085133394, 0.39989928901208055)]","[(1.8236126067173557, 0.8631639663093673)]","[(2.439737074445304, 0.33694992501935883)]","[(2.84847814894926, 0.5348122995802207)]","[(1.6947317339729049, 0.83866466526216)]","[(1.6918572702700583, 0.06690436716746495)]","[(2.320391780822569, 0.12547567274968452)]","[(2.530434323409958, 1.9508313379219935)]","[(3.521271242534052, 0.706678708887109)]","[(1.7696158314009722, 0.8500340854593605)]","[(1.445888778533468, 0.9906671278432578)]","(2.673000000000001, 1.7480000000000002)",False,False,False,False,False,False,False,False,False,False
"(-2.877, -4.452)","[(-4.21907364288992, -3.6655789584185254)]","[(-4.2408648567953495, -3.5823456287747812)]","[(-2.787235346357761, -3.9623988239820642)]","[(-4.313917953667463, -3.2595043633727405)]","[(-3.2682964235603804, -3.0246483499116876)]","[(-4.280728191377873, -2.8289093819163624)]","[(-3.582320461781334, -3.32897104216826)]","[(-3.5335362648997153, -3.9456145324307856)]","[(-3.7748818167146903, -3.593876527397542)]","[(-4.09233487391767, -3.351316226816316)]","[(-3.8076493753460836, -3.241329735260406)]","[(-3.454323449776873, -4.01940303536277)]","[(-3.484812611245602, -4.57742435218868)]","[(-3.124020634087824, -3.700562501605132)]","[(-3.9499569668062326, -2.919468424216473)]","[(-3.1394485616406516, -4.259918803495594)]","[(-3.319456332441837, -4.118339546486013)]","[(-3.7045124385374724, -3.504743825274497)]","[(-2.736194382369064, -4.631662185240228)]","[(-3.2635711526301336, -3.7075660687538403)]","(-4.276999999999999, -2.802)",False,False,False,False,False,False,False,False,False,False
"(-4.327, -0.0019999999999997797)","[(-2.170019440217352, 0.7316419732146119)]","[(-2.7188404735742715, 0.8254941757774865)]","[(-3.3918664354210266, 0.4080895062392194)]","[(-3.7492838990121777, 1.158460019593292)]","[(-1.8491875549957117, 0.337583560878159)]","[(-2.9054526251485266, 1.2993199377734221)]","[(-2.5547060022938766, 1.3079891550353073)]","[(-2.6448590247812045, 0.13536220013636524)]","[(-2.846172895491429, 1.0969252994676337)]","[(-3.1693336408893034, 1.075789014324947)]","[(-2.5397678477526666, 0.1020623750129509)]","[(-2.445881524687631, 0.400218927909494)]","[(-2.2932655159546735, 1.318264676925323)]","[(-2.5133301140547255, 0.9182429075938076)]","[(-3.0952512992956205, 1.7289336971883669)]","[(-2.3980754591079427, -0.15378118557114961)]","[(-3.296364779056814, 1.3418319646575172)]","[(-2.464116536951156, 0.5418873285325664)]","[(-3.524729321978043, 0.3487000203761528)]","[(-2.6257499858187185, 1.3479089544159173)]","(-2.4769999999999994, -0.8520000000000003)",False,False,False,False,False,False,False,False,False,False
"(4.673000000000001, -1.6020000000000003)","[(-1.3607670752675896, -0.2226751647043035)]","[(-1.8281974437576554, 0.3637720591229742)]","[(-0.8441176698207677, -1.0826159265277655)]","[(-0.5188336618914453, 0.41492585718234504)]","[(-2.1901548548817877, 0.04775567742357095)]","[(-1.6351225250121253, -0.36272863633871955)]","[(-0.7218829894155545, -1.3387985042486268)]","[(-0.5810527566338368, -0.39269664409495575)]","[(-0.9229377854560531, 0.08220432986941895)]","[(-0.34023188243568137, -0.43750184174326023)]","[(-0.7132242218600419, 0.7487125592239936)]","[(-1.0401111868797066, -0.18127873606919248)]","[(-0.8019525165604247, -0.17629737973101714)]","[(-0.8642314756733653, -0.3757397246521693)]","[(-0.4069436066955805, -0.16791605748179958)]","[(-1.4880775455756876, 0.6814640581356375)]","[(-2.108959323300523, 0.3586255564599435)]","[(-1.4050857194863458, -0.38538029195050033)]","[(-0.7120471268955311, -0.2143549613967074)]","[(-1.4726240874995506, -0.6479350578964099)]","(-2.727, -0.5019999999999998)",False,False,False,False,False,False,False,False,False,False
"(-1.2769999999999997, -0.15200000000000014)","[(0.2944304048251929, -1.2577083553498287)]","[(0.2598863054603285, -0.7131301229615217)]","[(-0.7699620633916742, -0.7150730161110647)]","[(-0.7769598710661412, -0.07868224698505588)]","[(-0.23017499678802808, -0.5205541362495624)]","[(-0.48850518583045366, -0.4383209010103891)]","[(-0.5701840139041302, -0.22434750847995386)]","[(-0.2817007536794011, -1.0632269160457712)]","[(0.7789965263141155, -0.7806610367980483)]","[(-0.4997831106231002, -0.16979521287745167)]","[(0.21124743260104895, -0.6050562155123893)]","[(0.5370368398353883, -0.5963306594464765)]","[(0.6807008080322038, -0.6631300452707015)]","[(-0.7836275168672985, -0.7342972573718755)]","[(-0.3583225287201228, 0.05169692196525755)]","[(-0.16000466591860368, -0.3818127947167387)]","[(-0.32362250466360337, -0.9713141737097989)]","[(-0.7147758306784363, -0.31692688302000277)]","[(-0.11677300308461601, -0.3372006580223515)]","[(-0.24505461075451923, 0.07513920686773067)]","(-0.6769999999999996, -1.2519999999999998)",False,False,False,False,False,False,False,False,False,False
"(-0.7269999999999994, -1.1020000000000003)","[(1.6892492193040587, 2.8171328798565187)]","[(1.48742102434871, 3.361069216570285)]","[(0.9314813169874505, 2.6844869673432172)]","[(0.4955134436973938, 3.576636778110608)]","[(0.907314861288624, 3.6926914381128073)]","[(1.4940110729249116, 2.254659405706217)]","[(0.551050421441821, 2.8915452062806772)]","[(0.8114466841240622, 3.461919443632048)]","[(1.641716616861481, 2.27878024640994)]","[(1.6045374968693367, 2.439278789337986)]","[(1.9118669106294206, 2.9279706918209816)]","[(1.171192942885227, 3.204308053336324)]","[(0.3176713749597606, 2.336553676238058)]","[(0.2716389174739807, 2.56116131693594)]","[(1.7062209124509273, 2.6817306429153733)]","[(0.5510943879585009, 2.989456460357676)]","[(1.9579194772537047, 2.056332262047726)]","[(0.6919061546487177, 2.07004542460204)]","[(2.160827165046954, 2.4480868954938866)]","[(0.16090337554186585, 2.560900885544247)]","(1.173000000000001, 1.548)",False,False,False,False,False,False,False,False,False,False
"(-1.5269999999999997, -5.752000000000001)","[(-0.7940159862291158, -0.23904937826967776)]","[(-1.564861638031161, -0.493667788523473)]","[(-1.3739993547802154, -0.22529051586758064)]","[(-1.5625486975251528, -0.66323220366138)]","[(-1.5370778763398034, -0.4503849586686212)]","[(-1.6248594558919658, -0.9042187963826979)]","[(-0.4126803264881731, -0.5919566469629216)]","[(-1.1900530337370703, -0.9856786892687457)]","[(-1.162557453018086, -0.7000680284684225)]","[(-1.5105126845636447, -0.277369137163999)]","[(-1.3650303076534425, -0.49283733908585337)]","[(-1.3905827351380073, -1.26012839678553)]","[(-1.9984969822448313, -1.2711602011100607)]","[(-1.2638549530204306, -1.1813384767755015)]","[(-1.385395226289916, -0.8258547727728401)]","[(-1.3183754571542146, -1.3249417567556452)]","[(-1.4000708565958777, -0.8066351077999727)]","[(-1.4032729302353555, -0.8850487743417701)]","[(-2.202031188415214, -0.8455673319867036)]","[(-1.1250556586006635, -1.4063787419280138)]","(-2.877, -1.952)",False,False,False,False,False,False,False,False,False,False
"(-1.6269999999999998, -1.0019999999999998)","[(2.1873622789208405, -4.41429723192827)]","[(2.260885227739855, -4.278437970291869)]","[(1.2922728459639605, -5.367329455365153)]","[(1.848993048994773, -4.8488912453588355)]","[(2.709730971437598, -5.179107737013993)]","[(1.2868370974668917, -4.223569483814777)]","[(2.600230717319582, -4.965738073022968)]","[(1.6802156386904834, -4.600208836181529)]","[(2.1281882507338263, -4.926831507573897)]","[(2.0511994897933032, -4.7052847682396)]","[(2.5784025287110506, -5.978523803436583)]","[(1.6997940138139067, -4.164675803799945)]","[(2.481554897305937, -5.298238780372138)]","[(1.2732530487414833, -4.289135567873892)]","[(2.126801081147949, -3.985633128638104)]","[(1.6464081685962055, -4.763212799125583)]","[(1.9844147190013115, -4.280989420231176)]","[(2.2346925023479987, -4.382839754368328)]","[(1.8946420443139642, -5.420888266304609)]","[(1.9936304422800228, -3.9936164039020787)]","(0.8230000000000004, -4.602)",False,False,False,False,False,False,False,False,False,False
"(4.473, 1.9480000000000004)","[(1.8126783682696461, 1.5611610848614443)]","[(0.65798498350808, 1.8262194176720783)]","[(1.0870602703978365, 1.3875928040860903)]","[(1.0696536740990767, 1.27979717096165)]","[(0.7017080905682092, 1.8092604552375553)]","[(1.6478661262065293, 2.671754418942008)]","[(0.8269190733186542, 1.1947378244524827)]","[(0.5616442800229225, 1.3323693687795783)]","[(0.9159600942573143, 1.6206743031126807)]","[(1.31839124229865, 1.3573638972768407)]","[(1.6440992078706123, 1.0229135925428332)]","[(1.3670524848534944, 0.7886182663497797)]","[(1.4164585071030373, 1.1369615697232547)]","[(0.5963690040606964, 1.771858463720947)]","[(1.0395375922299928, 1.2284980068730456)]","[(0.8278093923718735, 1.557085154837358)]","[(1.0467997506557882, 1.4603929611106452)]","[(0.808039331980682, 1.6449210993070846)]","[(1.1925605090191371, 1.2581136827678132)]","[(1.5965494690621036, 1.2725442917152507)]","(-0.7269999999999994, 1.5979999999999999)",False,False,False,False,False,False,False,False,False,False
"(-0.5269999999999992, -1.5019999999999998)","[(-0.8576348211456774, -5.690810543261797)]","[(0.3573719325279362, -5.931412898854587)]","[(-1.4002709302332967, -6.810903646193656)]","[(-1.6520036570547438, -5.286303424101658)]","[(-0.709926041358564, -5.619485606699724)]","[(-0.8540057298652954, -5.765101831945012)]","[(-0.6824805922502448, -5.203902777913748)]","[(-0.23602195745944476, -5.44948176198851)]","[(-0.4133369451786634, -6.532145168092014)]","[(-0.3371474717824513, -6.172582791953735)]","[(-1.6520036570547438, -5.286303424101658)]","[(-0.7654838705780843, -6.501201927433191)]","[(-0.8482504919471614, -6.318616749139537)]","[(-1.004033144272774, -6.23743341127794)]","[(-1.89202595455953, -6.832033939826414)]","[(-0.410989903295495, -6.49600531122688)]","[(-0.9837295890490105, -5.758071525786076)]","[(-0.516332709716933, -6.422576229871926)]","[(-0.12015726966938645, -6.550343682956792)]","[(-0.5300405835783287, -5.573816274402087)]","(-1.0769999999999995, -4.052)",False,False,False,False,False,False,False,False,False,False
"(-0.7769999999999992, -1.4020000000000001)","[(4.887145172699403, 2.974285475114967)]","[(4.09539683649843, 1.99958153624646)]","[(4.9787417198001025, 2.1856019662140027)]","[(5.145663085450995, 0.9559895399440677)]","[(3.9044898867277076, 0.7995393120316079)]","[(4.1128407551195085, 1.6673650258993422)]","[(4.542043933756332, 1.1932772336086783)]","[(4.521795836803701, 2.057749573157333)]","[(3.9642824442032345, 0.9128347340998673)]","[(5.281284595051709, 1.7902976010389)]","[(5.3481731754526285, 1.9420197502676702)]","[(4.855292204961204, 2.143143087952707)]","[(4.454498230666395, 2.2178725951554656)]","[(4.185798809022176, 1.5839675729960572)]","[(4.15805952160165, 1.134318204979071)]","[(4.804643361136249, 1.706533678763968)]","[(3.857027192807885, 2.5431697981933343)]","[(4.332205151798536, 1.6777770147240658)]","[(3.836096374173909, 1.9142021583971705)]","[(3.948395055445797, 1.1190399154408817)]","(4.673000000000001, 0.3979999999999997)",False,False,False,False,False,False,False,False,False,False
"(-2.2269999999999994, -0.15200000000000014)","[(-1.852335686990688, -2.068208449625686)]","[(-0.6217970919704481, -1.8710372057535956)]","[(-2.396107500362893, -1.4785068098700667)]","[(-1.4957303750513384, -2.0885285679247145)]","[(-1.7137470270993407, -1.7289784772696941)]","[(-2.018912423266394, -1.6112892782867905)]","[(-2.4509271766272764, -1.1105482102949644)]","[(-2.2518366273341694, -1.160025661363099)]","[(-2.0061654139679566, -1.5409838010862538)]","[(-2.1540566094390847, -2.164549666452363)]","[(-1.5175637192732523, -1.6775791185866844)]","[(-1.5937934661661792, -2.305327395808261)]","[(-1.2060737375671717, -2.480140179726681)]","[(-2.105877989852395, -0.9858624918566827)]","[(-2.3321611064328365, -1.943019801790865)]","[(-1.1636025288862684, -1.3444988643864675)]","[(-1.1887117419346183, -1.636055313443257)]","[(-2.526796973369552, -1.5196924797517943)]","[(-2.474117252869416, -2.2384239992822046)]","[(-2.1863570017587786, -1.1549304185257467)]","(-2.2269999999999994, -0.15200000000000014)",False,False,False,False,False,False,False,False,False,False
